asof,data_mode,daily_asof,intraday_asof,intraday_timestamp,intraday_updated,ticker,name,type,primary_exchange,country,sector,industry,theme,theme_tags,day_open,day_high,day_low,close,previous_close,prior_close_2d,prior_close_3d,day_change_pct,prior_day_move_pct,prior_2d_move_pct,prior_up_streak,up_day_streak,prior_3d_5d_high_count,prior_3d_1m_high_count,current_5d_high_breakout,pre_breakout_tight_1d_avg_range,pre_breakout_tight_1d_range,pre_breakout_tight_1d_ratio,pre_breakout_tight_1d,prior_day_high,prior_day_low,prior_day_range,leader_trigger_level,prior_5d_high,trade_entry_trigger,leader_trigger_1d,leader_trigger_type,volume,prior_day_volume,current_day_range,range_expansion_ratio,high_proximity_pct,volume_vs_prior_day,volume_projected,volume_elapsed_fraction,volume_projection_basis,volume_projected_vs_prior_day,rvol_10d,rvol_10d_basis,adv20_dollar,avgvol10,avgvol10_prior,dollar_volume10,adr_pct,atr14_pct,ema10,sma10,sma10_prev,sma20,sma20_prev,sma50,sma50_prev,market_cap,market_cap_fmt,perf_1w_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,rank_1w,rank_1m,rank_3m,rank_6m,rank_1y,rank_pct_1w,rank_pct_1m,rank_pct_3m,rank_pct_6m,rank_pct_1y,top1_1w,top1_1m,top1_3m,top1_6m,top1_window_count,history_days,history_is_short,history_note,performance_contract_version,performance_source,performance_adjusted,performance_asof,performance_adjustment_max_diff_pct,performance_adjustment_detected,price_discontinuity_detected,price_discontinuity_count,price_discontinuity_dates,excess_vs_spy_qqq_avg_pct,leadership_score,pivot,pivot_horizon,prior_1m_high,distance_to_pivot_pct,prior_52w_high,distance_to_52w_high_pct,prior_ath_high,distance_to_ath_high_pct,breakout_1m,breakout_52w,breakout_ath,breakout_type,breakout_52w_base_count,breakout_baseline,base_days,range_5d_atr,range_10d_atr,rmv15,rmv15_tight,rmv15_tight_count,rmv15_tight_count_prior14,rmv15_range,rmv15_prior_min,rmv15_prior_max,volume_dry_up_ratio,dcr,status,consolidation_score,breakout_base_count,breakout_chase_count,or30_high,or30_breakout,or30_breakout_time,or30_entry_trigger,or30_entry_time,or30_stop_low,or30_post_entry_low,trade_entry_time,trade_stop_low,trade_post_entry_low,prior_5_intraday_high,prior_5_intraday_breakout,catalyst,catalyst_date,metadata_asof
2026-08-10,daily,2026-08-10,,,False,APPS,Digital Turbine Inc. Common Stock,CS,,United States,Miscellaneous,Multi-Sector Companies,Multi-Sector Companies,,14.31,15.055,14.21,14.39,14.34,14.24,13.19,0.348675,0.702247,7.960576,5,6,3,3,False,0.8545,1.42,1.661791,False,15.18,13.76,1.42,15.19,4.325,15.19,False,,127574.0,198515.0,0.845,0.59507,78.698225,0.642642,127574.0,1.0,daily_actual,0.642642,0.652073,tradingview_volume_over_sma10_prior,1592745.09,197281.7,195643.7,2290756.76,6.760647,8.138092,11.71721,10.7445,10.1645,9.75,9.528,9.9972,9.8774,1741423838.0,1.7B,60.066741,36.268939,257.07196,247.165259,206.496273,2,20,1,4,76,0.999349,0.987622,1.0,0.997984,0.947405,True,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,142.580817,True,True,1,2026-06-29,171.685483,99.88005,15.18,20D,15.18,5.489924,15.18,5.489924,15.18,5.489924,False,False,False,,0,False,1,5.234523,6.259225,22.64574,False,5,5,0.845,0.34,2.57,1.920311,21.301775,Leader,83.693145,0,3,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,TXG,"10x Genomics, Inc. Class A Common Stock",CS,XNAS,United States,Industrials,LABORATORY ANALYTICAL INSTRUMENTS,Semiconductors & AI compute,Semiconductors & AI compute | Software & data | China / EM exposure,51.715,59.79,51.5,58.66,52.15,45.6,47.48,12.483221,14.364035,-3.959562,1,2,1,1,True,2.763,7.4,2.678248,False,52.22,44.82,7.4,52.23,22.52,52.23,False,,264695.0,289850.0,8.29,1.12027,13.630881,0.913214,264695.0,1.0,daily_actual,0.913214,1.648007,tradingview_volume_over_sma10_prior,7814461.9055,175703.6,160615.2,8722978.189,5.486216,5.678608,49.692441,48.88,47.6075,47.30825,46.46575,39.5465,38.9333,2723210254.05,2.7B,24.861643,37.634913,171.636953,215.461145,359.35787,33,17,2,6,34,0.979153,0.989577,0.999342,0.99664,0.976858,True,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,47.758669,True,False,0,,133.094434,99.850025,52.22,20D,52.22,-10.97852,52.22,-10.97852,52.22,-10.97852,True,True,True,ATH,0,False,1,4.500054,4.500054,100.0,False,3,3,8.29,1.72,7.4,1.212577,86.369119,Chase Breakout,116.377796,0,1,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,TWST,Twist Bioscience Corporation Common Stock,CS,XNAS,United States,Health Care,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",Semiconductors & AI compute,Semiconductors & AI compute,114.09,125.63,114.09,124.78,115.71,109.0,115.03,7.838562,6.155963,-5.242111,1,2,2,2,True,6.66575,8.15,1.222668,False,118.19,110.04,8.15,118.2,57.65,118.2,False,,126448.0,99171.0,11.54,1.415951,7.365685,1.27505,126448.0,1.0,daily_actual,1.27505,1.066967,tradingview_volume_over_sma10_prior,9516798.00325,121234.1,118511.6,12439831.911,6.052939,6.621368,106.537932,102.171,98.331,96.9205,95.1975,89.367,88.2532,3100488724.06,3.1B,23.728309,37.695873,119.605773,153.566348,399.12,37,16,6,17,30,0.976547,0.990228,0.996708,0.989247,0.979663,True,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,159.951748,True,True,1,2026-06-29,95.139428,99.16735,118.19,20D,118.19,-5.281295,118.19,-5.281295,118.19,-5.281295,True,True,True,ATH,0,False,1,3.221319,5.329731,49.363234,False,2,2,11.54,2.625,20.685,1.173319,92.634315,Chase Breakout,107.422352,0,1,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,ABCL,AbCellera Biologics Inc. Common Shares,CS,,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,Biotech & health,Biotech & health,8.775,10.0,8.485,9.335,6.93,6.52,5.935,34.704185,6.288344,9.856782,2,3,3,0,True,0.42175,0.635,1.505631,False,6.99,6.355,0.635,7.0,5.63,8.42,False,,1558969.0,332760.0,1.515,2.385827,43.894389,4.684965,1558969.0,1.0,daily_actual,4.684965,5.693863,tradingview_volume_over_sma10_prior,2227143.894,406940.9,273798.1,2953728.917,5.138113,6.373862,6.711439,6.2735,5.864,6.12675,5.9855,6.2593,6.1874,2752176069.0,2.8B,60.395189,37.481591,78.319007,195.879556,120.165094,1,18,15,9,186,1.0,0.988925,0.990783,0.994624,0.870266,True,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,89.159503,True,True,1,2026-06-29,95.410148,99.085181,6.99,20D,6.99,-25.120514,8.41,-9.908945,8.41,-9.908945,True,True,True,ATH,28,True,1,7.117647,8.428571,100.0,False,4,4,1.515,0.245,0.8,1.648699,56.105611,Breakout Baseline,137.13188,10,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,IOVA,Iovance Biotherapeutics Inc. Common Stock,CS,,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Biotech & health,Biotech & health,6.25,6.6,6.17,6.39,6.335,6.18,4.31,0.868193,2.508091,43.387471,2,3,2,2,False,0.42625,1.03,2.416422,False,6.91,5.88,1.03,6.92,4.03,6.92,False,,851969.0,1380607.0,0.43,0.417476,48.837209,0.617097,851969.0,1.0,daily_actual,0.617097,0.853766,tradingview_volume_over_sma10_prior,4852377.71475,1000667.5,997894.9,5320557.705,6.382741,8.053879,5.321949,4.9885,4.8395,4.9455,4.82775,4.4419,4.3999,2899017165.0,2.9B,48.432056,51.06383,76.519337,152.56917,141.132075,4,4,16,18,153,0.998046,0.998046,0.990125,0.988575,0.893408,True,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,130.379552,True,False,0,,84.900876,98.208356,6.91,20D,6.91,8.137715,6.91,8.137715,12.505,95.696401,False,False,False,,0,False,1,5.081194,5.722415,29.824561,False,3,3,0.43,0.175,1.03,1.286915,51.162791,Leader,86.718441,0,2,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,FIVN,Five9 Inc. Common Stock,CS,,United States,Technology,EDP Services,EDP Services,,33.44,34.565,32.645,34.46,33.98,28.37,29.61,1.412596,19.77441,-4.187774,1,2,1,1,True,1.70175,6.755,3.969443,False,34.085,27.33,6.755,34.095,22.955,34.095,False,,99744.0,420555.0,1.92,0.284234,5.46875,0.237172,99744.0,1.0,daily_actual,0.237172,0.442709,tradingview_volume_over_sma10_prior,4821782.1775,215862.4,225303.7,6389621.572,5.578932,6.260882,29.870534,29.4615,28.5735,27.0065,26.57425,24.2565,24.0235,2576467349.0,2.6B,18.971172,35.589219,55.857078,101.638385,36.232457,78,21,42,40,545,0.949837,0.986971,0.973009,0.97379,0.618513,False,True,True,True,3,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,71.301788,True,False,0,,55.878325,94.449593,34.085,20D,34.085,-1.088218,34.085,-1.088218,49.88,44.747533,True,True,False,52W,0,False,1,3.353418,3.853998,18.120237,False,1,1,1.92,0.85,6.755,1.263579,94.53125,Chase Breakout,98.302083,0,1,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,BFLY,"Butterfly Network, Inc.",CS,XNYS,United States,Health Care,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,Semiconductors & AI compute,Semiconductors & AI compute | Power & electrification | Software & data,8.865,10.05,8.865,9.7,8.835,8.29,8.415,9.790606,6.574186,-1.485443,1,2,0,0,True,0.58275,0.475,0.815101,False,8.845,8.37,0.475,8.855,4.35,9.69,False,,691083.0,353890.0,1.185,2.494737,29.535865,1.952819,691083.0,1.0,daily_actual,1.952819,1.559972,tradingview_volume_over_sma10_prior,3613587.94475,482322.0,443010.0,3990228.182,6.87408,7.150221,8.352322,8.1815,7.9205,7.54525,7.46475,7.0189,6.9172,1004701079.04,1.0B,18.004866,21.706399,132.893157,187.833828,597.841727,95,83,4,11,12,0.938762,0.94658,0.998025,0.99328,0.992286,False,False,True,True,2,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,212.841727,True,True,1,2026-06-29,105.661225,92.726829,8.99,20D,8.99,-7.319588,9.68,-0.206186,9.68,-0.206186,True,True,True,ATH,28,True,4,2.861998,4.801236,82.09607,False,5,5,1.185,0.245,1.39,0.982018,70.464135,Breakout Baseline,106.615479,3,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,BLZE,"Backblaze, Inc. Class A Common Stock",CS,XNAS,United States,Technology,SERVICES-PREPACKAGED SOFTWARE,Software & data,Software & data,19.035,20.44,18.95,19.26,18.82,18.105,18.62,2.337938,3.949185,-2.765843,1,2,0,0,False,1.39875,0.96,0.686327,True,18.99,18.03,0.96,19.0,7.57,23.99,False,,130824.0,77524.0,1.49,1.552083,79.194631,1.687529,130824.0,1.0,daily_actual,1.687529,1.027987,tradingview_volume_over_sma10_prior,1758939.4025,132157.6,127262.3,2296292.9005,7.736241,9.876131,16.889534,15.997,15.304,14.75775,14.601,12.76,12.5276,444709156.71,444.7M,23.501122,9.494031,157.486631,369.756098,188.539326,40,366,3,1,88,0.974593,0.762215,0.998683,1.0,0.93899,True,False,True,True,2,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,300.774239,True,True,1,2026-06-29,170.429017,91.340819,23.98,20D,23.98,24.50675,23.98,24.50675,23.98,24.50675,False,False,False,,3,False,4,3.406684,6.82914,26.149803,False,2,2,1.49,0.495,4.3,1.602152,20.805369,Leader,64.804492,3,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,FSLY,"Fastly, Inc. Class A Common Stock",CS,XNAS,United States,Technology,SERVICES-PREPACKAGED SOFTWARE,Software & data,Software & data,22.64,28.09,22.48,27.75,22.96,22.67,26.02,20.862369,1.279224,-12.874712,1,2,1,1,True,1.546,2.07,1.338939,False,24.42,22.35,2.07,24.43,21.59,34.81,False,,514066.0,293621.0,5.61,2.710145,6.060606,1.750781,514066.0,1.0,daily_actual,1.750781,1.658749,tradingview_volume_over_sma10_prior,6560690.10375,346231.4,309911.9,8308634.2935,6.747748,7.185328,23.648851,23.3045,22.5315,21.81225,21.42575,19.8178,19.6017,2615115000.0,2.6B,20.573539,41.726251,35.299854,223.050058,271.485944,62,10,210,5,51,0.960261,0.994137,0.862409,0.997312,0.964937,False,True,False,True,2,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,51.257698,True,False,0,,91.542152,91.148732,27.21,20D,27.21,-1.945946,34.8,25.405405,34.8,25.405405,True,False,False,1M,84,False,3,2.878739,4.573885,100.0,False,2,2,5.61,0.75,2.7,1.6106,93.939394,New Breakout,97.608158,2,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,DELL,Dell Technologies Inc.,CS,XNYS,United States,Technology,ELECTRONIC COMPUTERS,ELECTRONIC COMPUTERS,,461.66,474.89,452.35,458.155,453.46,437.58,462.38,1.035372,3.629051,-5.363554,1,2,1,1,False,29.9995,38.1,1.270021,False,455.66,417.56,38.1,455.67,260.54,485.32,False,,148872.0,193566.0,22.54,0.591601,74.245785,0.769102,148872.0,1.0,daily_actual,0.769102,0.564651,tradingview_volume_over_sma10_prior,109110058.97425,250780.7,263653.2,105972270.5185,6.662982,7.800931,439.041181,428.0125,424.8635,423.394,421.846,418.6441,415.833,154616739354.61002,154.6B,6.766173,5.335096,76.003611,278.531003,242.110962,401,526,17,2,62,0.739414,0.65798,0.989467,0.999328,0.957223,False,False,True,True,2,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,103.137923,True,False,0,,111.473334,90.359551,485.31,20D,485.31,5.927033,485.31,5.927033,485.31,5.927033,False,False,False,,2,False,3,1.895616,3.53466,36.760846,False,2,2,22.54,10.635,43.02,0.847256,25.754215,Leader,77.325181,2,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
