asof,ticker,name,sector,industry,country,close,day_open,day_high,day_low,previous_close,day_change_pct,sma20,atr14,adr_pct,prior_ath_high,ath_trigger,prior_ath_date,glb_base_days,glb_signal_date,glb_confirmation_type,perf_6m_prev_pct,entry_extension_pct,regime_qqq_close,regime_qqq_sma10,regime_qqq_sma10_ok,regime_asof,regime_rule,official_glb_signal,rvol_10d,volume,avgvol10,dollar_volume10,market_cap,history_days,yahoo_symbol
2026-07-01,CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers,Switzerland,351.73,343.71,352.95,342.42,340.74,3.225339281248951,329.74,7.136997706412004,1.9542182920456959,345.67,345.68,2026-03-02,83,2026-07-01,same_day_close_confirmation,8.360622358645253,1.750176749111354,736.4000244140625,723.8590087890625,True,,,True,1.3738657433131936,2348912.0,1709710.0,601356317.083435,136829288195.0,8374,CB
2026-07-01,PACS,PACS Group Inc. Common Stock,Health Care,Hospital/Nursing Management,United States,44.32,42.41,45.13,41.34,42.64,3.93996324864776,37.7,2.1480768422778973,4.718927732659954,43.92,43.93,2024-11-01,412,2026-06-30,delayed_close_confirmation,9.27729084935085,0.887775312597805,736.4000244140625,723.8590087890625,True,,,True,1.162052048383004,1236435.0,1064010.0,47156922.87528992,7019379876.0,557,PACS
2026-07-01,RDVT,Red Violet Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,65.49,64.2,67.68,63.99,63.72,2.7777724563057937,56.34,2.766060856596366,4.013698976664552,64.14,64.15,2025-11-06,159,2026-06-30,delayed_close_confirmation,10.759608157046973,2.088850917801288,736.4000244140625,723.8590087890625,True,,,True,1.0768704156479219,220220.0,204500.0,13392704.56314087,921383086.0,2077,RDVT
2026-07-01,HWC,Hancock Whitney Corporation Common Stock,Finance,Major Banks,United States,75.66,74.71,76.38,74.43,74.72,1.2580332254408466,71.58,1.5494756498996622,1.999073559160651,75.43,75.44,2026-02-06,98,2026-07-01,same_day_close_confirmation,15.48686977601652,0.2916273357759458,736.4000244140625,723.8590087890625,True,,,True,0.8532920076488767,941548.0,1103430.0,83485517.84088135,6132296062.0,8832,HWC
2026-07-01,NP,Neptune Insurance Holdings Inc. Class A Common Stock,Finance,Specialty Insurers,,34.06,31.93,34.15,31.85,31.5,8.126988486638155,27.98,1.6056533700208644,4.400847594914426,33.24,33.25,2025-10-03,184,2026-07-01,same_day_close_confirmation,4.201126288438317,2.4360943557624637,736.4000244140625,723.8590087890625,True,,,True,0.8201530377062782,1067544.0,1301640.0,44333860.18753052,4699547017.0,188,NP
2026-07-01,DGX,Quest Diagnostics Incorporated Common Stock,Health Care,Medical Specialities,United States,216.02,213.67,216.87,211.4,211.95,1.920267696541944,202.45,4.658031913931379,2.0385019884387234,213.5,213.51,2026-02-27,83,2026-06-30,delayed_close_confirmation,20.755464784077105,1.175590966446971,736.4000244140625,723.8590087890625,True,,,True,0.700021624293349,679812.0,971130.0,209783506.749115,23998985807.0,7430,DGX
2026-07-01,BCML,BayCom Corp Common Stock,Finance,Major Banks,United States,33.84,33.07,33.97,32.85,32.9,2.857138550493943,32.07,0.8363203482748789,2.5118214469178124,33.15,33.16,2025-12-18,130,2026-06-30,delayed_close_confirmation,9.849751879104552,2.0506639100961843,736.4000244140625,723.8590087890625,True,,,True,0.38779342723004695,57820.0,149100.0,5045544.0227508545,368080356.0,5190,BCML
2026-07-01,FRBA,First Bank Common Stock,Finance,Commercial Banks,United States,17.99,17.53,18.19,17.53,17.73,1.466442389140865,16.64,0.4961614091837003,2.674106452289532,18.11,18.12,2025-12-18,131,2026-07-01,intraday_touch_close_below,7.259520905890171,-0.717440556743032,736.4000244140625,723.8590087890625,True,,,False,1.098063253994131,168388.0,153350.0,2758766.4649009705,449905814.0,3950,FRBA
2026-07-01,BFC,Bank First Corporation Common Stock,Finance,Major Banks,United States,152.99,149.23,154.29,147.04,148.35,3.1277379162429897,144.13,3.884349912575472,2.5088007003714567,153.0,153.01,2026-02-09,97,2026-07-01,intraday_touch_close_below,18.216597839584516,-0.013067451039749933,736.4000244140625,723.8590087890625,True,,,False,1.0882283213276192,119346.0,109670.0,16778413.902435303,1707295067.0,5713,BFC
2026-07-01,NPB,Northpointe Bancshares Inc. Common Stock,Finance,Major Banks,United States,19.31,19.25,19.56,19.1,19.18,0.6777849775712497,18.13,0.5091037173888794,2.72027827733324,19.48,19.49,2026-01-22,109,2026-07-01,intraday_touch_close_below,12.88993857304499,-0.9235532789000245,736.4000244140625,723.8590087890625,True,,,False,0.9592179612747683,254634.0,265460.0,5126032.458229065,666737914.0,344,NPB
2026-07-01,L,Loews Corporation Common Stock,Finance,Property-Casualty Insurers,United States,114.12,113.64,115.1,113.5,113.21,0.8038191586154486,109.06,1.9987027744720691,1.6035757948629972,114.9,114.91,2026-02-09,97,2026-07-01,intraday_touch_close_below,6.56061875080296,-0.6874921707579529,736.4000244140625,723.8590087890625,True,,,False,0.48237662399466996,506809.0,1050650.0,119900180.88569641,23508064896.0,11667,L
