asof,data_mode,daily_asof,intraday_asof,intraday_timestamp,intraday_updated,ticker,name,type,primary_exchange,country,sector,industry,theme,theme_tags,day_open,day_high,day_low,close,previous_close,prior_close_2d,prior_close_3d,day_change_pct,prior_day_move_pct,prior_2d_move_pct,prior_up_streak,up_day_streak,prior_3d_5d_high_count,prior_3d_1m_high_count,current_5d_high_breakout,pre_breakout_tight_1d_avg_range,pre_breakout_tight_1d_range,pre_breakout_tight_1d_ratio,pre_breakout_tight_1d,prior_day_high,prior_day_low,prior_day_range,leader_trigger_level,prior_5d_high,trade_entry_trigger,leader_trigger_1d,leader_trigger_type,volume,prior_day_volume,current_day_range,range_expansion_ratio,high_proximity_pct,volume_vs_prior_day,volume_projected,volume_elapsed_fraction,volume_projection_basis,volume_projected_vs_prior_day,rvol_10d,rvol_10d_basis,adv20_dollar,avgvol10,avgvol10_prior,dollar_volume10,adr_pct,atr14_pct,ema10,sma10,sma10_prev,sma20,sma20_prev,sma50,sma50_prev,market_cap,market_cap_fmt,perf_1w_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,perf_1y_pct,rank_1w,rank_1m,rank_3m,rank_6m,rank_1y,rank_pct_1w,rank_pct_1m,rank_pct_3m,rank_pct_6m,rank_pct_1y,top1_1w,top1_1m,top1_3m,top1_6m,top1_window_count,history_days,history_is_short,history_note,performance_contract_version,performance_source,performance_adjusted,performance_asof,performance_adjustment_max_diff_pct,performance_adjustment_detected,price_discontinuity_detected,price_discontinuity_count,price_discontinuity_dates,excess_vs_spy_qqq_avg_pct,leadership_score,pivot,pivot_horizon,prior_1m_high,distance_to_pivot_pct,prior_52w_high,distance_to_52w_high_pct,prior_ath_high,distance_to_ath_high_pct,breakout_1m,breakout_52w,breakout_ath,breakout_type,breakout_52w_base_count,breakout_baseline,base_days,range_5d_atr,range_10d_atr,rmv15,rmv15_tight,rmv15_tight_count,rmv15_tight_count_prior14,rmv15_range,rmv15_prior_min,rmv15_prior_max,volume_dry_up_ratio,dcr,status,consolidation_score,breakout_base_count,breakout_chase_count,or30_high,or30_breakout,or30_breakout_time,or30_entry_trigger,or30_entry_time,or30_stop_low,or30_post_entry_low,trade_entry_time,trade_stop_low,trade_post_entry_low,prior_5_intraday_high,prior_5_intraday_breakout,catalyst,catalyst_date,metadata_asof
2026-08-10,daily,2026-08-10,,,False,OKTA,Okta Inc. Class A Common Stock,CS,,United States,Technology,Computer Software: Prepackaged Software,Software & data,Software & data,149.835,153.555,149.6,150.77,148.26,143.42,146.95,1.692972,3.374704,-2.402178,1,2,1,0,True,6.3535,3.51,0.552451,True,149.96,146.45,3.51,149.97,84.6999,156.51,False,,121773.0,114077.0,3.955,1.126781,70.417193,1.067463,121773.0,1.0,daily_actual,1.067463,0.932239,tradingview_volume_over_sma10_prior,19937457.371,133878.6,130624.2,19143873.713,3.430722,3.756194,145.053226,143.4385,142.1035,143.77375,143.21125,134.1619,133.0405,26204936421.0,26.2B,6.479749,8.792438,79.766305,73.71817,61.010252,414,394,13,69,394,0.730945,0.743974,0.9921,0.954301,0.724404,False,False,True,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,11.784959,False,False,0,,45.609068,78.291869,156.5,20D,156.5,3.800491,156.5,3.800491,156.5,3.800491,False,False,False,,17,False,18,2.272561,4.235227,9.063136,True,5,4,3.955,3.51,8.42,0.833856,29.582807,Ready,81.274385,10,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,AVTR,Avantor Inc. Common Stock,CS,,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,Biotech & health,Biotech & health,13.405,13.785,13.405,13.74,13.59,13.19,13.35,1.103753,3.0326,-1.198502,1,2,0,0,False,0.513,0.355,0.692008,True,13.59,13.235,0.355,13.6,8.3,15.91,False,,496299.0,627242.0,0.38,1.070423,11.842105,0.79124,496299.0,1.0,daily_actual,0.79124,0.42284,tradingview_volume_over_sma10_prior,12831806.53975,1087658.7,1173727.9,14876231.188,3.678,4.460387,13.244943,13.5675,13.3695,12.38125,12.2225,10.8038,10.712,9286406873.0,9.3B,0.548847,32.115385,65.542169,22.024867,20.632133,870,30,31,468,695,0.433876,0.981107,0.98025,0.686156,0.513324,False,True,True,False,2,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,18.551896,False,False,0,,31.410904,82.686874,14.62,20D,14.62,6.404658,15.9,15.720524,27.825,102.510917,False,False,False,,254,False,8,1.174825,4.470862,15.972222,False,5,5,0.38,0.265,0.985,0.687767,88.157895,Ready,80.005137,7,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,EXLS,"ExlService Holdings, Inc.",CS,XNAS,United States,Consumer Discretionary,"SERVICES-BUSINESS SERVICES, NEC",Software & data,Software & data,34.49,35.355,34.49,35.07,34.885,34.63,33.68,0.530314,0.736356,2.820665,2,3,1,0,True,1.2585,0.735,0.584029,True,35.245,34.51,0.735,35.255,31.12,45.05,False,,156991.0,255927.0,0.865,1.176871,32.947977,0.613421,156991.0,1.0,daily_actual,0.613421,0.642712,tradingview_volume_over_sma10_prior,6008673.4025,250414.3,244263.2,8638800.1955,4.006273,4.378997,33.556122,34.1805,33.531,30.95575,30.62575,29.0769,28.9575,4430704999.0,4.4B,2.424065,28.532161,12.874155,10.735712,-16.589369,716,46,593,632,1065,0.534202,0.970684,0.61027,0.575941,0.253857,False,True,False,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,29.686486,True,False,0,,8.89744,69.211316,36.17,20D,36.17,3.136584,45.04,28.428857,52.415,49.458226,False,False,False,,254,False,8,1.29907,4.532093,4.137116,True,5,4,0.865,0.69,4.92,1.068245,67.052023,Ready,76.821914,7,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,GH,Guardant Health Inc. Common Stock,CS,,United States,Health Care,Medical Specialities,Medical Specialities,,167.03,171.24,165.87,167.21,168.45,157.525,163.09,-0.736123,6.935407,-3.412226,1,0,0,0,True,6.49875,7.24,1.11406,False,169.12,161.88,7.24,169.13,100.73,176.16,False,,70642.0,149578.0,5.37,0.741713,75.046555,0.472275,70642.0,1.0,daily_actual,0.472275,0.442382,tradingview_volume_over_sma10_prior,21643695.13525,160075.5,159685.6,25156204.9595,3.87558,4.592813,160.006825,157.6885,155.5175,155.2415,154.811,146.9636,146.283,22438941586.0,22.4B,5.219772,4.467075,74.741352,64.076146,231.70006,489,557,18,114,66,0.682085,0.637785,0.988808,0.924059,0.954418,False,False,True,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,10.389529,False,False,0,,39.278288,76.346313,176.15,20D,176.15,5.34657,176.15,5.34657,176.15,5.34657,False,False,False,,5,False,6,1.81584,4.542529,20.996979,False,6,6,5.37,2.59,15.83,0.775263,24.953445,Ready,75.787932,5,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,CS,,United States,Consumer Discretionary,Movies/Entertainment,Movies/Entertainment,,36.39,37.745,36.31,37.74,37.23,37.93,37.765,1.369863,-1.845505,0.436912,0,1,0,0,False,1.13625,1.18,1.038504,False,37.85,36.67,1.18,37.86,27.57,38.985,False,,128751.0,105649.0,1.435,1.216102,0.348432,1.218667,128751.0,1.0,daily_actual,1.218667,0.638159,tradingview_volume_over_sma10_prior,6223567.908,201109.4,201753.8,7406637.6735,3.270497,3.421909,36.618265,36.92,36.5115,34.1735,33.74425,32.6413,32.4307,4375672526.0,4.4B,-0.224719,30.003445,39.416328,46.44936,51.020408,930,37,153,220,440,0.394788,0.976547,0.899934,0.852823,0.692146,False,True,False,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,25.970706,True,False,0,,30.139808,76.369473,38.975,20D,38.975,3.27239,38.975,3.27239,38.975,3.27239,False,False,False,,4,False,5,1.65708,3.860066,38.135593,False,5,5,1.435,0.535,2.895,0.806378,99.651568,Ready,72.913099,4,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,BAX,Baxter International Inc. Common Stock,CS,,United States,Health Care,Medical/Dental Instruments,Medical/Dental Instruments,,27.12,27.965,26.815,27.78,27.54,27.0,27.33,0.87146,2.0,-1.207464,1,2,0,0,False,0.983,1.29,1.312309,False,27.875,26.585,1.29,27.885,18.09,30.01,False,,664379.0,578761.0,1.15,0.891473,16.086957,1.147933,664379.0,1.0,daily_actual,1.147933,0.927319,tradingview_volume_over_sma10_prior,14423866.42725,748101.4,716451.5,20056149.206,4.092101,4.93032,26.600285,26.814,26.37,24.57625,24.31675,22.2675,22.0969,14362148852.0,14.4B,-1.173959,22.865989,54.333333,27.841694,18.011895,998,70,45,381,717,0.350489,0.955049,0.971034,0.744624,0.497896,False,False,True,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,26.268169,True,False,0,,26.530436,75.272105,30.0,20D,30.0,7.991361,30.0,7.991361,40.47,45.680346,False,False,False,,6,False,7,1.30691,4.493872,23.360656,False,2,2,1.15,0.295,3.955,1.061744,83.913043,Ready,67.176222,6,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,MRVL,"Marvell Technology, Inc. Common Stock",CS,XNAS,United States,Technology,SEMICONDUCTORS & RELATED DEVICES,Semiconductors & AI compute,Semiconductors & AI compute | Optical & networking | Metals & mining,227.17,229.89,208.55,208.65,218.63,210.37,210.71,-4.56479,3.926415,-0.161359,1,0,0,0,True,13.94475,16.17,1.159576,False,221.85,205.68,16.17,221.86,192.15,329.86,False,,392238.0,683600.0,21.34,1.319728,99.531396,0.573783,392238.0,1.0,daily_actual,0.573783,0.588806,tradingview_volume_over_sma10_prior,120918553.04225,637063.3,666158.8,123660258.2455,6.959707,8.383657,204.988636,196.9195,194.9825,199.09875,199.537,240.9785,240.8979,147907197514.89,147.9B,7.695881,-11.498982,22.605477,159.789579,175.082399,348,1239,410,15,107,0.773941,0.193485,0.730744,0.990591,0.925666,False,False,False,True,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,88.04571,True,False,0,,48.482121,72.04833,231.56,20D,231.56,10.98011,329.85,58.087707,329.85,58.087707,False,False,False,,34,False,19,1.604116,3.827069,100.0,False,3,3,21.34,7.68,17.655,0.867092,0.468604,Ready,66.758833,10,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,HUM,Humana Inc. Common Stock,CS,,United States,Health Care,Medical Specialities,Medical Specialities,,386.75,392.49,384.19,385.34,385.07,367.06,363.79,0.070117,4.906555,0.89887,3,4,1,0,True,14.49425,16.435,1.133898,False,385.21,368.775,16.435,385.22,310.94,427.51,False,,43863.0,68756.0,8.3,0.50502,86.144578,0.637952,43863.0,1.0,daily_actual,0.637952,0.415972,tradingview_volume_over_sma10_prior,32060031.00975,103490.6,105446.9,38396272.292,3.591541,3.723243,376.726782,372.224,371.801,384.359,385.3845,375.7298,374.1942,46314974796.0,46.3B,3.059642,-1.787922,40.240929,98.782564,50.441165,654,864,146,41,446,0.574593,0.437785,0.904542,0.973118,0.687938,False,False,False,True,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,81.997955,True,False,0,,37.261954,73.478566,427.5,20D,427.5,10.940987,427.5,10.940987,427.5,10.940987,False,False,False,,16,False,17,2.643035,2.838893,8.268657,True,7,6,8.3,5.53,39.03,0.855531,13.855422,Ready,65.675659,10,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
2026-08-10,daily,2026-08-10,,,False,TNGX,"Tango Therapeutics, Inc.",CS,XNAS,United States,Health Care,PHARMACEUTICAL PREPARATIONS,Biotech & health,Biotech & health | Energy / oil & gas,26.975,28.08,26.78,27.68,27.07,28.985,28.81,2.253417,-6.606866,0.607428,0,1,1,0,False,1.5545,2.155,1.386298,False,28.905,26.75,2.155,28.915,25.76,34.36,False,,119311.0,130653.0,1.3,0.603248,30.769231,0.91319,119311.0,1.0,daily_actual,0.91319,1.235593,tradingview_volume_over_sma10_prior,2971358.221,100093.5,96561.7,2763570.8345,4.98813,5.331338,27.881995,27.647,27.553,27.898,27.9315,28.3141,28.1603,2984087868.66,3.0B,1.746003,-10.882164,20.26939,120.909816,319.393939,763,1213,454,29,42,0.503583,0.210423,0.701777,0.981183,0.971248,False,False,False,True,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,121.231061,True,False,0,,34.949111,70.093001,30.765,20D,30.765,11.145231,34.35,24.096821,34.35,24.096821,False,False,False,,35,False,20,2.273475,3.225557,40.20979,False,3,3,1.3,0.725,2.155,0.989236,69.230769,Ready,65.337954,10,0,,False,,,,,,,,,,,nao verificado,,2026-05-18
2026-08-10,daily,2026-08-10,,,False,PBF,PBF Energy Inc. Class A Common Stock,CS,,United States,Energy,Integrated oil Companies,Energy / oil & gas,Energy / oil & gas,63.695,66.74,63.695,66.31,61.69,61.2,61.17,7.489058,0.800654,0.049044,2,3,0,0,False,3.7115,4.38,1.180116,False,63.41,59.03,4.38,63.42,43.565,74.725,False,,357923.0,137322.0,3.045,0.695205,14.121511,2.606451,357923.0,1.0,daily_actual,2.606451,1.646283,tradingview_volume_over_sma10_prior,13418702.25525,236756.8,217412.8,15716606.7185,6.232092,6.868173,64.215366,65.3885,65.035,63.8835,63.441,52.0321,51.5015,7857806991.0,7.9B,-2.312905,24.678011,62.923833,86.736131,197.621185,1083,59,33,51,81,0.295114,0.962215,0.978934,0.966398,0.943899,False,False,True,False,1,507,False,,split_adjusted_daily_chart_v1,split_adjusted_daily_chart,True,2026-08-10,63.113153,True,False,0,,49.629422,79.91117,74.715,20D,74.715,12.675313,74.715,12.675313,74.715,12.675313,False,False,False,,6,False,7,1.73463,3.444009,14.482759,True,3,2,3.045,1.89,9.865,0.982062,85.878489,Ready,64.933732,6,0,,False,,,,,,,,,,,nao verificado,,nasdaq_2026-08-10
