data_sinal,sistema,ticker,ext_d0_pct,entrada,stop,situacao,qtd,adv_musd,r,pnl,obs
2026-07-28,FadeD2R,DFNS,79,abertura D+1,entrada x1.50,watchlist amanha,6,59.1,,,checar disponibilidade de short no broker antes de executar real
2026-07-28,D2F30,LCID,32,abertura D+1,entrada x1.50,watchlist amanha,10,219.2,,,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-27,D2F30,VEEE,53,16.05,24.07,MOC,9,363.7,0.17,+6.83,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-27,D2F30,SNDQ,35,48.20,72.30,MOC,3,667.5,-0.21,-8.28,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-27,D2F30,NXTC,34,4.90,7.35,MOC,32,79.6,-0.22,-8.98,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-27,D2F30,CAPR,34,6.78,10.17,MOC,23,32.5,0.07,+2.71,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-27,D2F30,BIYA,67,5.50,8.25,MOC,29,40.6,-0.33,-13.38,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-23,FadeD2R,NVVE,91,2.75,4.12,MOC,58,39.1,0.25,+20.36,checar disponibilidade de short no broker antes de executar real
2026-07-23,D2F30,SKYQ,35,6.48,9.72,MOC,24,31.1,0.55,+22.04,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-23,D2F30,CBRG,31,4.96,7.44,MOC,32,45.8,0.28,+11.13,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-23,D2F30,ADVB,38,23.09,34.63,MOC,6,80.2,0.36,+14.27,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-22,FadeD2R,ADVB,125,15.15,22.73,MOC,10,44.2,-0.21,-16.58,checar disponibilidade de short no broker antes de executar real
2026-07-22,D2F30,CBRG,41,4.59,6.88,MOC,34,38.0,-0.3,-11.85,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-20,GapCrap,BIYA,88,7.78,11.67,MOC,20,16.6,1.1,+87.81,GapCrap: open +88% vs prev close $4.14; short open; cover MOC
2026-07-15,FadeD2R,NVVE,108,2.75,4.12,MOC,58,61.6,0.25,+20.36,sinal nao era do pregao anterior
2026-07-14,FadeD2R,JLHL,33,8.55,12.82,MOC,18,130.8,-0.5,-19.93,checar disponibilidade de short no broker antes de executar real
2026-07-10,GapCrap,GMM,208,5.69,6.83,MOC,28,16.2,0.39,+39.33,GapCrap: open +208% vs prev close $1.85; short open; cover MOC
2026-07-10,FadeD2R,NVVE,117,2.75,4.12,MOC,58,33.3,0.25,+20.36,sinal nao era do pregao anterior
2026-07-09,FadeD2R,TRAX,60,33.05,39.66,MOC,4,10.6,-0.19,-18.82,checar disponibilidade de short no broker antes de executar real
2026-07-09,FadeD2R,SDOT,41,22.54,27.05,MOC,7,91.4,-0.08,-7.72,checar disponibilidade de short no broker antes de executar real
2026-07-08,FadeD2R,TVRD,76,4.33,5.20,MOC,36,22.1,0.24,+23.79,entrada D+1 sub-$5 ($4.33); filtro $5 aplicado no D0
2026-07-07,GapCrap,CRNX,99,83.58,100.30,MOC,1,60.7,0.0,+0.12,GapCrap: open +99% vs prev close $42.03; short open; cover MOC
2026-07-07,FadeD2R,CLRO,72,11.87,14.24,STOP,13,62.6,-0.4,-40.00,checar disponibilidade de short no broker antes de executar real
