data_sinal,ticker,extensao_pct,fech_d0,abre_acima,abre_abaixo,qtd,adv_musd,status,resultado_pct,obs,sistema,situacao,entrada,stop,market_cap,market_cap_musd,market_cap_filter,borrow_status,borrow_filter,borrow_source,borrow_checked_at,broker_tradable,broker_marginable,broker_shortable,broker_easy_to_borrow,gapcrap_version,gapcrap_min_gap_pct,gapcrap_min_price,gapcrap_price_filter,gapcrap_earnings_filter,gapcrap_rule,gapcrap_filters,gapcrap_signal_timing,gap_pct,open_price,prev_close,day_high,day_low,day_close,volume,scan_source,scan_status,scan_checked_at,yahoo_symbol,exchange,entrada_regra,stop_regra,acao,qtd_estim,qtd_estim_regra,risk_budget,notional_budget,short_risk_pct,short_notional_pct,risk_dollars,entry_notional,short_size_obs,day2fade_version,day2fade_signal_timing,day2fade_min_trigger_pct,day2fade_min_price,day2fade_min_adv_musd,day2fade_market_cap_filter,day2fade_market_cap_warning_musd,day2fade_max_earnings_age_days,day2fade_rule,day2fade_trigger_basis,day2fade_high_vs_open_pct,day2fade_close_vs_open_pct,day2fade_open_price,day2fade_high_price,day2fade_close_price,day2fade_volume,day2fade_legacy_intraday_trigger_pct,day2fade_earnings_filter,earnings_status,earnings_filter,short_stop_rule_pct,short_stop_rule,short_stop_rule_status,saida,preco_saida,exit_price,exit_reason,r,pnl,pnl_usd,resultado_tipo,resultado_contabilizado,stats_excluded,stats_exclusion_reason
2026-07-15,AMDD,882,27.04,28.39,24.34,5,60.5,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,CLRO,49,7.69,8.07,6.92,20,188.9,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,19530508,19.53,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,6.5800,,9.8000,,7.6900,2585659,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,48.94,16.87,6.5800,9.8000,7.6900,2585659,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,DRIP,896,45.83,48.12,41.25,3,159.6,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,GGLS,903,57.08,59.93,51.37,2,70.4,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,JLHL,45,10.75,11.29,9.68,14,132.1,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,200544709,200.54,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,8.5500,,12.4000,,10.7500,10533572,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,45.03,25.73,8.5500,12.4000,10.7500,10533572,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,NVVE,108,21.56,22.64,19.40,7,61.6,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,4108620,4.11,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,17.2100,,35.7899,,21.5600,5481378,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,pass_legacy_earnings_unchecked,high_vs_open,107.96,25.28,17.2100,35.7899,21.5600,5481378,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,SOBR,56,2.07,2.17,1.86,77,34.6,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,2159101,2.16,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,1.6800,,2.6300,,2.0700,164911634,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,56.55,23.21,1.6800,2.6300,2.0700,164911634,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,SOXS,863,41.23,43.29,37.11,3,3621.8,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,TECS,874,65.92,69.22,59.33,2,84.6,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-15,TZA,894,40.15,42.16,36.13,3,1172.4,filtrado_split,,split 10->1 em 2026-07-15; GapCrap ignorado,GapCrap,,,,,,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-14,JLHL,33,7.90,8.29,7.11,18,130.8,executado,-24.912,checar disponibilidade de short no broker antes de executar real,Day2Fade,,,,200544709,200.54,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,7.7300,,10.4300,,7.9000,2005992,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,34.93,2.20,7.7300,10.4300,7.9000,2005992,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-10,GMM,208,5.69,5.97,5.12,28,16.2,executado,19.667,GapCrap: open +208% vs prev close $1.85; short open; cover MOC,GapCrap,,,,5000704,5.00,gapcrap_v2_no_market_cap_filter,legado,legacy_unchecked,,,,,,,v2,80,0.10,anti_dust_0_10,legacy_unchecked,pass,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,208.00,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-10,NVVE,117,13.67,14.35,12.30,11,33.3,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,4108620,4.11,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,9.5400,,20.7400,,13.6700,18154800,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,pass_legacy_earnings_unchecked,high_vs_open,117.40,43.29,9.5400,20.7400,13.6700,18154800,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-09,SDOT,41,26.71,28.05,24.04,7,91.4,executado,-3.86,checar disponibilidade de short no broker antes de executar real,Day2Fade,,,,18722000,18.72,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,25.2500,,35.7000,,26.7100,6594400,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,41.39,5.78,25.2500,35.7000,26.7100,6594400,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-09,TRAX,60,32.40,34.02,29.16,4,10.6,executado,-9.41,checar disponibilidade de short no broker antes de executar real,Day2Fade,,,,1274095292,1274.10,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,21.0000,,33.7000,,32.4000,4512600,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,60.48,54.29,21.0000,33.7000,32.4000,4512600,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-08,TVRD,76,5.00,5.25,4.50,36,22.1,executado,11.894,entrada D+1 sub-$5 ($4.33); filtro $5 aplicado no D0,Day2Fade,,,,30020301,30.02,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,3.2300,,5.6900,,5.0000,39153000,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,pass_legacy_earnings_unchecked,high_vs_open,76.16,54.80,3.2300,5.6900,5.0000,39153000,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-07,ABTC,1397,8.41,8.83,7.57,,15.1,fora_regra_gap,,prev close corrigido; gap < 80%; GapCrap v2 skip: gap abaixo de 80%,GapCrap,fora_regra_gap,,,385519456,385.52,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:gap_below_80,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,nao operar,,BLOQUEADO,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,blocked_no_trade,,,,,,,,,,,
2026-07-07,CLRO,72,13.84,14.53,12.46,13,62.6,executado,-20.0,checar disponibilidade de short no broker antes de executar real,Day2Fade,,,,19530508,19.53,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,9.5900,,16.5000,,13.8400,83752300,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,pass_legacy_earnings_unchecked,high_vs_open,72.05,44.32,9.5900,16.5000,13.8400,83752300,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-07,CRNX,99,83.58,87.76,75.22,1,60.7,executado,0.06,GapCrap: open +99% vs prev close $42.03; short open; cover MOC,GapCrap,,,,8842215843,8842.22,gapcrap_v2_no_market_cap_filter,legado,legacy_unchecked,,,,,,,v2,80,0.10,anti_dust_0_10,legacy_unchecked,pass,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,99.00,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-07,SVC,406,8.80,9.24,7.92,18,14.3,filtrado_split,,split 5->1 em 2026-07-07; GapCrap ignorado,GapCrap,,,,1113195971,1113.20,gapcrap_v2_no_market_cap_filter,,,,,,,,,v2,80,0.10,anti_dust_0_10,,skip:split_artifact,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,,,,,,,,,,,,,,,,,,,80.00,160.00,1,2,,,,,,,,,,,,,,,,,,,,,,,,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
2026-07-02,SLBT,42,5.99,6.29,5.39,26,27.5,expirado,,sinal nao era do pregao anterior,Day2Fade,,,,2411266955,2411.27,day2fade_v2_no_market_cap_filter,,,,,,,,,,,,,,,,,,4.4000,,6.2500,,5.9900,1171400,,,,,,,,,,,80.00,160.00,1,2,,,,v2,pump_yesterday_short_today_open,70,1,10,off,off,3,skip:trigger_below_70,high_vs_open,42.05,36.14,4.4000,6.2500,5.9900,1171400,,legacy_unchecked,legado,legacy_unchecked,50,entry_plus_50_pct,rule_recorded,,,,,,,,,,,
