ticker,name,theme,status,first_seen,last_seen,list_entry_date,list_exit_date,days_in_watchlist_30d,consecutive_days,reentry_count,days_in_top2_30d,top2_days_detail,top2_new_window,global_rank,previous_global_rank,rank_delta,leadership_score
SLS,"SELLAS Life Sciences Group, Inc. Common Stock",Biotech & health,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,11,1M 11d | 3M 11d | 6M 17d,False,2,2,0,99.811383
ABSI,Absci Corporation Common Stock,Power & electrification,Ready,2026-06-15,2026-07-13,2026-06-15,,17,17,0,12,1M 15d | 3M 16d | 6M 12d,False,3,3,0,99.6596
PENG,"Penguin Solutions, Inc. Ordinary Shares",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,1,1M 1d | 3M 17d | 6M 17d,True,4,7,3,99.622613
MXL,"MaxLinear, Inc. Common Stock",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,7,6,-1,92.904384
BB,BlackBerry Limited,Software & data,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,6,3M 17d | 6M 6d,False,8,8,0,92.195784
FCEL,FuelCell Energy Inc  NEW (DE),Power & electrification,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,10,3M 17d | 6M 10d,False,9,10,1,91.628634
DELL,Dell Technologies Inc.,ELECTRONIC COMPUTERS,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,15,3M 17d | 6M 15d,False,10,13,3,91.532692
AMD,Advanced Micro Devices,Semiconductors & AI compute,Ready,2026-06-15,2026-07-13,2026-06-15,,17,17,0,5,3M 17d | 6M 5d,False,11,12,1,91.393665
TWST,Twist Bioscience Corporation Common Stock,Semiconductors & AI compute,Ready,2026-06-15,2026-07-13,2026-06-15,,17,17,0,12,1M 13d | 6M 12d,False,13,29,16,90.967743
WDC,Western Digital Corp.,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,2,3M 2d | 6M 17d,False,14,26,12,90.82877
ERAS,"Erasca, Inc. Common Stock",Biotech & health,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,10,1M 10d | 6M 17d,False,16,16,0,90.208216
MU,"Micron Technology, Inc.",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,11,3M 11d | 6M 17d,False,17,18,1,89.649579
SNDK,Sandisk Corporation Common Stock,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,18,9,-9,89.514841
INTC,Intel Corp,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,22,21,-1,86.686751
RXT,"Rackspace Technology, Inc. Common Stock",Defense & space,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,23,11,-12,85.972019
ALAB,Astera Labs Inc. Common Stock,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d,False,25,23,-2,83.855947
VSH,"Vishay Intertechnology, Inc.",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,28,27,-1,83.335695
MRVL,"Marvell Technology, Inc. Common Stock",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d | 6M 17d,False,29,30,1,83.142226
APPS,Digital Turbine Inc. Common Stock,Multi-Sector Companies,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d,False,32,28,-4,80.702633
TNGX,"Tango Therapeutics, Inc.",Biotech & health,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,6M 17d,False,39,39,0,78.074235
CLOV,Clover Health Investments Corp. Class A Common Stock,Biotech & health,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d,False,47,42,-5,76.143488
WOLF,"Wolfspeed, Inc.",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,3M 17d,False,54,58,4,71.955741
AAOI,"Applied Optoelectronics, Inc.",Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,6M 17d,False,58,54,-4,70.964379
AXTI,AXT Inc,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,17,17,0,17,6M 17d,False,62,55,-7,67.056555
BFLY,"Butterfly Network, Inc.",Semiconductors & AI compute,Ready,2026-06-16,2026-07-13,2026-06-16,,16,16,0,16,1M 16d,False,27,31,4,83.361843
IBRX,ImmunityBio Inc. Common Stock,Biotech & health,Leader,2026-06-15,2026-07-13,2026-06-15,,16,15,1,16,6M 16d,False,34,33,-1,79.803359
BLZE,"Backblaze, Inc. Class A Common Stock",Software & data,Leader,2026-06-17,2026-07-13,2026-06-17,,14,13,1,12,1M 13d | 3M 14d | 6M 12d,False,1,1,0,99.937537
DFTX,Definium Therapeutics Inc. Common Shares,Biotech & health,Ready,2026-06-24,2026-07-13,2026-06-24,,13,13,0,13,1M 13d | 3M 13d,False,6,5,-1,93.063795
BHVN,Biohaven Ltd. Common Shares,Biotech & health,Leader,2026-06-17,2026-07-13,2026-06-17,,14,10,1,14,1M 14d,False,43,46,3,77.722938
OUST,Ouster Inc. Common Stock,Industrial components,Leader,2026-06-18,2026-07-13,2026-06-18,,11,10,1,10,3M 10d,False,40,37,-3,77.98594
BE,Bloom Energy Corporation,Power & electrification,Leader,2026-06-16,2026-07-13,2026-06-16,,14,9,1,14,6M 14d,False,42,45,3,77.824319
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Semiconductors & AI compute,Leader,2026-06-16,2026-07-13,2026-06-16,,14,9,1,14,3M 14d,False,45,36,-9,77.18421
IRDM,Iridium Communications Inc.,Defense & space,Ready,2026-07-01,2026-07-13,2026-07-01,,8,8,0,8,6M 8d,False,33,35,2,80.164749
PTRN,Pattern Group Inc. Series A Common Stock,Catalog/Specialty Distribution,Leader,2026-07-02,2026-07-13,2026-07-02,,7,7,0,2,1M 6d | 3M 7d | 6M 2d,False,5,4,-1,97.911
TENB,Tenable Holdings Inc. Common Stock,Software & data,Leader,2026-07-02,2026-07-13,2026-07-02,,7,7,0,6,1M 7d | 3M 6d,False,20,19,-1,88.488749
OSCR,"Oscar Health, Inc.",Power & electrification,Ready,2026-07-02,2026-07-13,2026-07-02,,7,7,0,7,3M 7d,False,26,34,8,83.420787
MRNA,Moderna Inc. Common Stock,Biotech & health,Leader,2026-07-02,2026-07-13,2026-07-02,,7,7,0,7,1M 7d,False,36,38,2,79.607993
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,16,6,1,12,3M 12d | 6M 16d,False,19,17,-2,89.472607
DOCN,"DigitalOcean Holdings, Inc.",Software & data,Leader,2026-06-15,2026-07-13,2026-06-15,,16,6,1,16,6M 16d,False,57,60,3,71.004377
STM,STMicroelectronics N.V.,Semiconductors & AI compute,Ready,2026-06-15,2026-07-13,2026-06-15,,9,6,2,8,6M 8d,False,41,25,-16,77.964905
NRIX,Nurix Therapeutics Inc. Common stock,Biotech & health,Leader,2026-07-06,2026-07-13,2026-07-06,,6,6,0,6,1M 6d,False,48,50,2,75.630815
COMP,Compass Inc. Class A Common Stock,EDP Services,Ready,2026-07-06,2026-07-13,2026-07-06,,6,6,0,6,1M 6d,False,49,51,2,75.360948
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,Biotech & health,Leader,2026-07-06,2026-07-13,2026-07-06,,6,6,0,6,1M 6d,False,51,43,-8,74.140185
BRBR,BellRing Brands Inc. Common Stock,Packaged Foods,Leader,2026-07-06,2026-07-13,2026-07-06,,6,6,0,6,1M 6d,False,67,68,1,60.69349
HUT,Hut 8 Corp. Common Stock,Semiconductors & AI compute,Leader,2026-06-15,2026-07-13,2026-06-15,,12,5,1,12,3M 12d,False,50,52,2,75.333617
ALMS,Alumis Inc. Common Stock,Biotech & health,Leader,2026-07-07,2026-07-13,2026-07-07,,5,5,0,5,1M 5d | 6M 5d,False,21,22,1,87.322108
RLAY,"Relay Therapeutics, Inc. Common Stock",Biotech & health,Leader,2026-07-07,2026-07-13,2026-07-07,,5,5,0,5,1M 5d,False,30,32,2,82.44571
VRNS,Varonis Systems Inc. Common Stock,Software & data,Leader,2026-07-07,2026-07-13,2026-07-07,,5,5,0,4,1M 4d,False,38,44,6,78.761792
VKTX,Viking Therapeutics Inc. Common Stock,Biotech & health,Leader,2026-07-07,2026-07-13,2026-07-07,,5,5,0,5,1M 5d,False,56,63,7,71.007699
