day,previous_day,list,change,ticker,name,theme,status,leadership_score
2026-05-26,2026-05-18,all_leaders,included,TE,T1 Energy Inc. Common Stock,Industrial components,Breakout,82.705821
2026-05-26,2026-05-18,all_leaders,included,SIDU,"Sidus Space, Inc. Class A Common Stock",Defense & space,Breakout,87.355509
2026-05-26,2026-05-18,all_leaders,included,RGTI,Rigetti Computing Inc. Common Stock,Quantum computing,Developing,71.73806
2026-05-26,2026-05-18,all_leaders,included,RDW,Redwire Corporation Common Stock,Defense & space,Breakout,85.81185
2026-05-26,2026-05-18,all_leaders,included,QBTS,D-Wave Quantum Inc. Common Shares,Quantum computing,Developing,71.433165
2026-05-26,2026-05-18,all_leaders,included,NVTS,Navitas Semiconductor Corporation Common Stock,Semiconductors & AI compute,Breakout,87.610187
2026-05-26,2026-05-18,all_leaders,included,DXYZ,Destiny Tech100 Inc.,Unclassified,Breakout,77.484655
2026-05-26,2026-05-18,all_leaders,included,CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Semiconductors & AI compute,Breakout,77.959219
2026-05-26,2026-05-18,all_leaders,included,ATOM,Atomera Incorporated Common Stock,Semiconductors & AI compute,Breakout,85.515593
2026-05-26,2026-05-18,all_leaders,included,ALAB,Astera Labs Inc. Common Stock,Semiconductors & AI compute,Breakout,82.139293
2026-05-26,2026-05-18,all_leaders,excluded,VSTS,Vestis Corporation,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,Leader,76.114528
2026-05-26,2026-05-18,all_leaders,excluded,TNGX,"Tango Therapeutics, Inc.",Biotech / pharma / Energy / oil & gas,Developing,74.322896
2026-05-26,2026-05-18,all_leaders,excluded,SLS,"SELLAS Life Sciences Group, Inc. Common Stock",Biotech / pharma,Developing,87.143836
2026-05-26,2026-05-18,all_leaders,excluded,SIBN,SI-BONE Inc. Common Stock,Medical/Dental Instruments,Leader,62.297456
2026-05-26,2026-05-18,all_leaders,excluded,SG,Sweetgreen Inc. Class A Common Stock,Restaurants,Extended,67.813457
2026-05-26,2026-05-18,all_leaders,excluded,SEDG,"SolarEdge Technologies, Inc.",AI infrastructure / Semiconductors,Developing,76.265601
2026-05-26,2026-05-18,all_leaders,excluded,SAIL,SailPoint Inc. Common Stock,AI infrastructure,Extended,62.463796
2026-05-26,2026-05-18,all_leaders,excluded,POET,POET Technologies Inc. Common Shares,AI infrastructure / Semiconductors,Developing,81.764188
2026-05-26,2026-05-18,all_leaders,excluded,PCT,PureCycle Technologies Inc. Common stock,Major Chemicals,Leader,73.286384
2026-05-26,2026-05-18,all_leaders,excluded,KOD,Kodiak Sciences Inc Common Stock,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",Developing,73.589041
2026-05-26,2026-05-18,all_leaders,excluded,ICHR,Ichor Holdings,Semiconductors / Defense / aerospace,Developing,76.089041
2026-05-26,2026-05-18,all_leaders,excluded,ERAS,"Erasca, Inc. Common Stock",Biotech / pharma / Energy / oil & gas,Developing,72.845401
2026-05-26,2026-05-18,all_leaders,excluded,ENPH,"Enphase Energy, Inc.",Semiconductors,Developing,69.514001
2026-05-26,2026-05-18,all_leaders,excluded,DGXX,Digi Power X Inc. Subordinate Voting Shares,AI infrastructure / Power / grid,Developing,84.956947
2026-05-26,2026-05-18,all_leaders,excluded,CAPR,Capricor Therapeutics Inc. Common Stock,Biotech / pharma,Developing,72.997295
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,LITE,Lumentum Holdings Inc. Common Stock,Optical & networking,Ready,77.373181
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,INOD,Innodata Inc.,Software & data,Ready,76.608598
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,CLYM,"Climb Bio, Inc. Common Stock",Biotech & health,Ready,81.77027
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,CELC,Celcuity Inc. Common Stock,Biotech & health,Ready,76.053015
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,BW,"Babcock & Wilcox Enterprises, Inc.",Power & electrification,Ready,78.698545
2026-05-26,2026-05-18,leaders_consolidating,consolidating_included,AGL,"agilon health, inc.",Biotech & health,Ready,85.752599
