journal_id,event_type,setup_name,trade_date,context_asof,ticker,sector,qqq_regime,operational_eligible,decision,skip_reason,prior_5d_high,trigger_price,first_touch_et,first_touch_time_et,touch_source,touch_time_estimated,entry_price,initial_stop,shares,planned_risk_dollars,entry_notional,prior_close,day_high,close,day_change_pct,market_cap,avgvol10,adv10,rvol,distance_to_trigger_pct,position_score,data_status,recorded_at_et
s563:2026-08-13:BLZE:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-13,2026-08-12,BLZE,Não informado,OK,true,ENTRY_ELIGIBLE,,20.49,20.5,,,BACKFILL_DIARIO,true,20.5,17.9559,47,119.57,963.5,19.34,20.90999984741211,20.43000030517578,5.636,1197146000.0,4069340,73993398,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-13:FOSL:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-13,2026-08-12,FOSL,Não informado,OK,true,ENTRY_ELIGIBLE,,6.07,6.08,,,BACKFILL_DIARIO,true,6.08,5.5508,226,119.6,1374.08,5.27,6.25,5.579999923706055,5.8824,311657534.04,1288950,7067929,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-13:NET:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-13,2026-08-12,NET,Não informado,OK,true,ENTRY_ELIGIBLE,,324.73,324.74,,,BACKFILL_DIARIO,true,324.74,299.5259,4,100.86,1298.96,311.45,332.2200012207031,330.8299865722656,6.2225,110901027236.75,5077150,1510325020,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-13:PAYC:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-13,2026-08-12,PAYC,Não informado,OK,true,ENTRY_ELIGIBLE,,222.0659,222.0759,,,BACKFILL_DIARIO,true,222.0759,207.5469,8,116.23,1776.61,210.9341,224.26227898633917,223.263916015625,5.8453,9507141389.31,1257170,247144809,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-13:ZIM:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-13,2026-08-12,ZIM,Industrials,OK,true,ENTRY_ELIGIBLE,,27.1,27.11,,,BACKFILL_DIARIO,true,27.11,25.8235,93,119.64,2521.23,25.27,27.25,26.81999969482422,6.1338,3045531959.82,1569250,40861438,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-14:BYND:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-14,2026-08-13,BYND,Não informado,OK,true,ENTRY_ELIGIBLE,,13.56,13.57,,,BACKFILL_DIARIO,true,13.57,6.4866,16,113.33,217.12,12.21,14.34000015258789,13.470000267028809,10.3194,209938312.65,20120360,29796415,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-14:IOVA:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-14,2026-08-13,IOVA,Healthcare,OK,true,ENTRY_ELIGIBLE,,6.92,6.93,,,BACKFILL_DIARIO,true,6.93,6.1966,163,119.54,1129.59,6.52,7.0,6.980000019073486,7.0552,2953373736.64,22050060,127524122,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-14:OUST:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-14,2026-08-13,OUST,Não informado,OK,true,ENTRY_ELIGIBLE,,49.5,49.51,,,BACKFILL_DIARIO,true,49.51,42.4563,17,119.91,841.67,45.13,50.13999938964844,48.709999084472656,7.9326,3254429588.29,3078600,135649709,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-14:TRX:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-14,2026-08-13,TRX,Não informado,OK,true,ENTRY_ELIGIBLE,,1.12,1.13,,,BACKFILL_DIARIO,true,1.13,1.0274,1169,119.94,1320.97,1.04,1.1699999570846558,1.1200000047683716,7.6923,340572969.36,3366310,3452127,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
s563:2026-08-17:AXTI:signal_detected,signal_reconstructed,5DH_INTRADAY_S563,2026-08-17,2026-08-14,AXTI,Technology,OK,true,ENTRY_ELIGIBLE,,90.39,90.4,,,BACKFILL_DIARIO,true,90.4,75.0914,7,107.16,632.8,81.64,97.79000091552734,95.97000122070312,17.5527,5353397027.68,13995300,1042056674,,,,RECONSTRUIDO_DIARIO,2026-08-28T20:52:59-04:00
