position_id,strategy,ticker,name,adr_pct,status,entry_status,entry_basis,entry_date,entry_time,entry_detected_at,entry_price,entry_trigger,stop_price,stop_basis,atr14,sma20_at_entry,glb_original,perf_6m_prev_pct,entry_extension_pct,closed_above_1r,trade_days_held,shares,risk_budget,risk_per_share,initial_risk,entry_rank,rvol_10d,last_price,last_date,last_r,open_pnl,notional,exit_date,exit_time,exit_price,exit_reason,r_multiple,pnl
GLB-2026-06-18-CR,glb_ath_63d_eod,CR,Crane Company Common Stock,2.6111812733440014,open,GLB ATH 63D EOD,glb_close,2026-06-18,16:00,2026-06-18T16:00:00-04:00,214.9,214.32,205.78,chandelier3atr,5.370430270632245,192.49,214.32,,,False,17,4.0,50.0,12.204241094243097,48.816964376972386,,1.3595374002937732,216.0,2026-07-13,0.09013260156904628,4.399999999999977,864.0,,,,,,
GLB-2026-06-18-GOLF,glb_ath_63d_eod,GOLF,Acushnet Holdings Corp. Common Stock,2.915025831596748,open,GLB ATH 63D EOD,glb_close,2026-06-18,16:00,2026-06-18T16:00:00-04:00,107.73,104.82,108.98,chandelier3atr,2.864810007731719,92.95,104.82,,,True,17,7.0,50.0,6.7841048671791535,47.488734070254075,,2.0721953593042,109.37,2026-07-13,0.24174154617422894,11.480000000000004,765.59,,,,,,
GLB-2026-06-22-WYFI,glb_ath_63d_eod,WYFI,WhiteFiber Inc. Ordinary Shares,9.187225614588003,closed,GLB ATH 63D EOD,glb_close,2026-06-22,16:00,2026-06-22T16:00:00-04:00,44.9,40.76,36.57,initial_2atr14,5.098975878315094,29.84,40.76,,,False,7,6.0,50.0,8.331914091866306,49.991484551197836,,2.430592062846544,36.5,2026-07-01,-1.0081717006900202,0,209.64,2026-07-01,16:00,36.5,gap_initial_stop,-1.0081717006900202,-50.39999999999999
GLB-2026-06-23-BWB,glb_ath_63d_eod,BWB,Bridgewater Bancshares Inc. Common Stock,2.4459200757431034,open,GLB ATH 63D EOD,glb_close,2026-06-23,16:00,2026-06-23T16:00:00-04:00,20.34,20.31,20.43,chandelier3atr,0.40317880451858834,19.37,20.31,,,True,14,48.0,50.0,1.0339881639015016,49.63143186727208,,1.7117857308638538,21.52,2026-07-13,1.14121228965287,56.639999999999986,1032.96,,,,,,
GLB-2026-06-23-CFG,glb_ath_63d_eod,CFG,Citizens Financial Group Inc. Common Stock,2.057735703083907,open,GLB ATH 63D EOD,glb_close,2026-06-23,16:00,2026-06-23T16:00:00-04:00,68.96,68.8,67.84,chandelier3atr,1.5068932856118227,64.89,68.8,,,False,14,16.0,50.0,3.030560701206895,48.48897121931032,,0.5035135095865446,70.36,2026-07-13,0.4619607188341311,22.40000000000009,1125.76,,,,,,
GLB-2026-06-23-CINF,glb_ath_63d_eod,CINF,Cincinnati Financial Corporation Common Stock,1.7652984777241607,closed,GLB ATH 63D EOD,glb_close,2026-06-23,16:00,2026-06-23T16:00:00-04:00,175.81,174.28,180.79,chandelier3atr,4.105292704918293,165.35,174.28,,,True,12,7.0,50.0,6.763685407476293,47.34579785233405,,0.9673994377818674,180.79,2026-07-09,0.7362849837006474,0,1227.73,2026-07-09,20:54,180.79,chandelier_stop,0.7362849837006474,34.85999999999993
GLB-2026-06-23-TRV,glb_ath_63d_eod,TRV,The Travelers Companies Inc. Common Stock,2.0651550695662344,open,GLB ATH 63D EOD,glb_close,2026-06-23,16:00,2026-06-23T16:00:00-04:00,316.96,313.13,322.9,chandelier3atr,6.320798798068255,301.13,313.13,,,True,14,3.0,50.0,12.944627175863019,38.83388152758906,,1.7415434183946727,341.45,2026-07-13,1.891904623229696,73.47000000000003,1024.35,,,,,,
GLB-2026-07-01-BCML,glb_ath_63d_eod,BCML,BayCom Corp Common Stock,2.4977840896606756,open,GLB ATH 63D EOD,glb_close,2026-07-01,16:00,2026-07-01T16:00:00-04:00,33.83,33.16,32.47,chandelier3atr,0.5142927489983539,32.07,33.16,9.849751879104552,2.020512156377241,False,8,30.0,50.0,1.662640740146298,49.87922220438894,,0.32252179745137494,33.81,2026-07-13,-0.012029056859412813,-0.5999999999998806,1014.3000000000001,,,,,,
GLB-2026-07-01-CB,glb_ath_63d_eod,CB,Chubb Limited  Common Stock,1.9529413513429006,open,GLB ATH 63D EOD,glb_close,2026-07-01,16:00,2026-07-01T16:00:00-04:00,351.96,345.68,338.94,chandelier3atr,7.236300090247375,329.75,345.68,8.360622358645253,1.816706623200104,False,8,3.0,50.0,14.273995412824007,42.82198623847202,,0.8313485912815624,354.78,2026-07-13,0.19756206433038753,8.45999999999998,1064.34,,,,,,
GLB-2026-07-01-DGX,glb_ath_63d_eod,DGX,Quest Diagnostics Incorporated Common Stock,2.0364280293448016,closed,GLB ATH 63D EOD,glb_close,2026-07-01,16:00,2026-07-01T16:00:00-04:00,216.24,213.51,206.92,initial_2atr14,4.2024610989458155,202.46,213.51,20.755464784077105,1.278631208451153,False,6,5.0,50.0,9.316063827862758,46.58031913931379,,0.6765355822598417,206.92,2026-07-09,-1.000422514509346,0,1040.1000000000001,2026-07-09,20:54,206.92,initial_stop,-1.000422514509346,-46.60000000000011
